video_id,title,creation_date,description,author,source
Bu4sZKD9ORM,Unser Regierungsprogramm 2025 in Gebärdensprache: Klimaschutz und soziale Gerechtigkeit für alle,2025-01-28T16:36:41Z,"Klimaschutz und soziale Gerechtigkeit für alle
Dieses Video zeigt, wie wir den Klimaschutz mit sozialer Gerechtigkeit verbinden. Unsere Politik sorgt dafür, dass niemand zurückgelassen wird, während wir gleichzeitig eine klimaneutrale Zukunft aufbauen.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=Bu4sZKD9ORM
yoA_ionVP70,Bald auch in deiner Stadt ... 😉,2024-12-06T17:22:02Z,,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=yoA_ionVP70
