video_id,title,creation_date,description,author,source
vQ6wvtnyKlI,Live: Vorstellung AfD-Kanzlerkandidat!,2024-12-07T10:07:24Z,Pressekonferenz live: Die AfD stellt ihren Kanzlerkandidaten vor! Jetzt vormerken und teilen!,AfD TV,https://www.youtube.com/watch?v=vQ6wvtnyKlI
alD6rwkzzVA,Live: Vorstellung AfD-Kanzlerkandidat! - Alice Weidel & Tino Chrupalla,2024-12-06T11:00:28Z,Einschalten und teilen: Die AfD stellt ihren Kanzlerkandidaten für die #BTW2025 vor!,AfD TV,https://www.youtube.com/watch?v=alD6rwkzzVA
