,video_id,title,creation_date,description,author,source
0,IvF5TgI9LMA,Stagnation – Wirtschaftsnation #AllesLässtSichÄndern,2025-01-09T09:18:11Z,,FDP,https://www.youtube.com/watch?v=IvF5TgI9LMA
0,tfkNc1zXUKI,Alles lässt sich ändern #3k25,2025-01-06T12:48:33Z,"Die vollständige Aufzeichnung des Dreikönigstreffens der Freien Demokraten vom 6. Januar 2025. #Dreikönigstreffen #FDP #3K25 #Dreikönig

__________________________

Abonniere unseren Kanal: http://youtube.com/fdp?sub_confirmation=1

Folge uns auf
Facebook: https://www.facebook.com/fdp
Twitter: https://twitter.com/fdp
Instagram: https://www.instagram.com/fdp
LinkedIn: https://www.linkedin.com/company/freiedemokraten",FDP,https://www.youtube.com/watch?v=tfkNc1zXUKI
0,WwUmiPjXOKE,Optimismus statt Pessimismus! |#3K25,2025-01-06T11:16:21Z,,FDP,https://www.youtube.com/watch?v=WwUmiPjXOKE
0,NOPGoXCou-E,Das Land gestalten! #AllesLässtSichÄndern,2025-01-06T10:32:42Z,,FDP,https://www.youtube.com/watch?v=NOPGoXCou-E
0,uDs7UH_9qQQ,Alles lässt sich ändern,2024-12-12T09:29:04Z,"Was ist eigentlich so schlimm daran, wenn jetzt etwas Neues kommt?
Alles lässt sich ändern.
Am 23.02.25",FDP,https://www.youtube.com/watch?v=uDs7UH_9qQQ
0,UjCe7YsgD1U,Alles lässt sich ändern,2024-12-12T09:29:01Z,"Was ist eigentlich so schlimm daran, wenn jetzt etwas Neues kommt?
Alles lässt sich ändern.
Am 23.02.25",FDP,https://www.youtube.com/watch?v=UjCe7YsgD1U
0,Myu1V0Thi5A,Sneak Peak: Unsere Wahlkampagne ist öffentlich!,2024-12-11T15:43:17Z,,FDP,https://www.youtube.com/watch?v=Myu1V0Thi5A
0,b1ODCaoZidA,🔴LIVE: FDP Pressekonferenz mit Bijan Djir-Sarai,2024-11-25T09:21:27Z,🔴LIVE: FDP Pressekonferenz mit Bijan Djir-Sarai,FDP,https://www.youtube.com/watch?v=b1ODCaoZidA
0,JXeRLRvBWvA,Comeback in the making,2024-11-22T13:52:59Z,Deutschland steht am Wendepunkt. Wir brauchen jetzt die #Wirtschaftswende!,FDP,https://www.youtube.com/watch?v=JXeRLRvBWvA
