,video_id,title,creation_date,description,author,source
0,T7Eh7QMDsEs,37. Parteitag der CDU Deutschlands | Wieder nach vorne #cdupt25,2025-01-28T15:38:31Z,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=T7Eh7QMDsEs
0,obSGzwD9dUE,37. Parteitag der CDU Deutschlands | Wieder nach vorne #cdupt25,2025-01-28T15:36:48Z,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=obSGzwD9dUE
